File Path,Title,Object Type,Source,Parent ARK,Item ARK
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088\AraNF-8_043v_61-088_DJK_ICA_3band_01.tif,Image of Sinai Arabic NF 8 43v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088\AraNF-8_043v_61-088_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 43v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088\AraNF-8_043v_61-088_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 43v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_043v_61-088,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044r_61-089\AraNF-8_044r_61-089_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 44r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044r_61-089,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044v_61-090\AraNF-8_044v_61-090_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 44v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044v_61-090,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044v_61-090\AraNF-8_044v_61-090_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 44v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_044v_61-090,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045r_61-091\AraNF-8_045r_61-091_KTK_pseudo_WBUVB47-VIS.tif,Image of Sinai Arabic NF 8 45r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045r_61-091,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045r_61-091\AraNF-8_045r_61-091_KTK_pseudo_WBUVG58-VIS.tif,Image of Sinai Arabic NF 8 45r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045r_61-091,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045v_61-092\AraNF-8_045v_61-092_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 45v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_045v_61-092,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_046r_61-093\AraNF-8_046r_61-093_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 46r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_046r_61-093,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_046v_61-094\AraNF-8_046v_61-094_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 46v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_046v_61-094,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_047r_61-095\AraNF-8_047r_61-095_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 47r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_047r_61-095,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_047v_61-096\AraNF-8_047v_61-096_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 47v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_047v_61-096,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_048r_61-097\AraNF-8_048r_61-097_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 48r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_048r_61-097,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_048v_61-098\AraNF-8_048v_61-098_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 48v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_048v_61-098,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_049r_61-099\AraNF-8_049r_61-099_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 49r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_049r_61-099,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_049v_61-100\AraNF-8_049v_61-100_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 49v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_049v_61-100,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101\AraNF-8_050r_61-101_RLE_ICA_01_RGB.tif,Image of Sinai Arabic NF 8 50r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101\AraNF-8_050r_61-101_RLE_ICA_02_RGB.tif,Image of Sinai Arabic NF 8 50r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101\AraNF-8_050r_61-101_RLE_ICA_03.tif,Image of Sinai Arabic NF 8 50r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101\AraNF-8_050r_61-101_RLE_ICA_04_RGB.tif,Image of Sinai Arabic NF 8 50r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101\AraNF-8_050r_61-101_RLE_ICA_05_RGB.tif,Image of Sinai Arabic NF 8 50r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_050r_61-101,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051r_61-103\AraNF-8_051r_61-103_DJK_ICA_3band_01.tif,Image of Sinai Arabic NF 8 51r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051r_61-103,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051r_61-103\AraNF-8_051r_61-103_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 51r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051r_61-103,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104\AraNF-8_051v_61-104_DJK_ICA_2band_01.tif,Image of Sinai Arabic NF 8 51v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104\AraNF-8_051v_61-104_DJK_ICA_3band_01.tif,Image of Sinai Arabic NF 8 51v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104\AraNF-8_051v_61-104_DJK_ICA_3band_02.tif,Image of Sinai Arabic NF 8 51v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_051v_61-104,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052r_61-105\AraNF-8_052r_61-105_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 52r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052r_61-105,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052r_61-105\AraNF-8_052r_61-105_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 52r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052r_61-105,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106\AraNF-8_052v_61-106_KTK_pseudo_WBUVB47-VIS.tif,Image of Sinai Arabic NF 8 52v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106\AraNF-8_052v_61-106_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 52v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106\AraNF-8_052v_61-106_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 52v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_052v_61-106,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107\AraNF-8_053r_61-107_KTK_pseudo_WBUVO22-MB780IR.tif,Image of Sinai Arabic NF 8 53r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107\AraNF-8_053r_61-107_KTK_pseudo_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 53r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107\AraNF-8_053r_61-107_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 53r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107\AraNF-8_053r_61-107_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 53r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_053r_61-107,,
