File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0003_f_002r.tif,31,sinai,"Syriac NF M 63, f. 2r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/q667bt8t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fq667bt8t,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0004_f_002v.tif,32,sinai,"Syriac NF M 63, f. 2v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/mq424p5n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fmq424p5n,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0003_f_001r.tif,33,sinai,"Syriac 50, f. 1r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/bn847w8g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fbn847w8g,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0004_f_001v.tif,34,sinai,"Syriac 50, f. 1v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/j051db3g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fj051db3g,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0005_f_002r.tif,35,sinai,"Syriac 50, f. 2r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/5r85nv8x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2F5r85nv8x,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0006_f_002v.tif,36,sinai,"Syriac 50, f. 2v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/zg06f82n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fzg06f82n,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0007_f_003r.tif,37,sinai,"Syriac 50, f. 3r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/m920q912,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fm920q912,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0008_f_003v.tif,38,sinai,"Syriac 50, f. 3v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/fb408x14,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Ffb408x14,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0009_f_004r.tif,39,sinai,"Syriac 50, f. 4r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/z366zr8q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fz366zr8q,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0010_f_004v.tif,40,sinai,"Syriac 50, f. 4v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/h112s23q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fh112s23q,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0011_f_005r.tif,41,sinai,"Syriac 50, f. 5r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/p590w590,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fp590w590,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0012_f_005v.tif,42,sinai,"Syriac 50, f. 5v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/v217t61q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fv217t61q,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0013_f_006r.tif,43,sinai,"Syriac 50, f. 6r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/nq469t2c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fnq469t2c,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0014_f_006v.tif,44,sinai,"Syriac 50, f. 6v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/pm68q57b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fpm68q57b,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0015_f_007r.tif,45,sinai,"Syriac 50, f. 7r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/jj11kx56,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fjj11kx56,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0016_f_007v.tif,46,sinai,"Syriac 50, f. 7v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/md06x88f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fmd06x88f,
Masters/sinaimasters/syr/syriac_0050/sld_syr0050_0017_f_008r.tif,47,sinai,"Syriac 50, f. 8r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1s489m7/w305bs08,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ingested,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489m7%2Fw305bs08,
