"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0033_f_015r.tif","33","discovery","f. 015r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/c3154v0q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fc3154v0q",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0034_f_015v.tif","34","discovery","f. 015v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/h827332f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fh827332f",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0035_f_016r.tif","35","discovery","f. 016r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/5k89dx6k","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F5k89dx6k",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0036_f_016v.tif","36","discovery","f. 016v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/zw73fz31","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fzw73fz31",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0037_f_017r.tif","37","discovery","f. 017r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/3k45zr0w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F3k45zr0w",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0038_f_017v.tif","38","discovery","f. 017v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/x6069d58","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fx6069d58",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0039_f_018r.tif","39","discovery","f. 018r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/8f82zh5h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F8f82zh5h",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0040_f_018v.tif","40","discovery","f. 018v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/jt23n45s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fjt23n45s",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0041_f_019r.tif","41","discovery","f. 019r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/b698225h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fb698225h",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0042_f_019v.tif","42","discovery","f. 019v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/td44gp8r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ftd44gp8r",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0043_f_020r.tif","43","discovery","f. 020r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/s113zt1h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fs113zt1h",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0044_f_020v.tif","44","discovery","f. 020v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/rs550m9z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Frs550m9z",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0045_f_021r.tif","45","discovery","f. 021r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/3s40xn3b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F3s40xn3b",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0046_f_021v.tif","46","discovery","f. 021v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/z153w77t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fz153w77t",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0047_f_022r.tif","47","discovery","f. 022r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/kh61n419","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fkh61n419",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0048_f_022v.tif","48","discovery","f. 022v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/nv57277k","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fnv57277k",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0049_f_023r.tif","49","discovery","f. 023r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/jh96pz0d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fjh96pz0d",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0050_f_023v.tif","50","discovery","f. 023v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/g739b169","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fg739b169",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0051_f_024r.tif","51","discovery","f. 024r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/t280qz5m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ft280qz5m",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0052_f_024v.tif","52","discovery","f. 024v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/d353zf62","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fd353zf62",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0053_f_025r.tif","53","discovery","f. 025r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/f4447v4s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ff4447v4s",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0054_f_025v.tif","54","discovery","f. 025v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/kv889p44","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fkv889p44",""
