File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0057_f_029r.tif,57,discovery,f. 029r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/47076q4g,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0058_f_029v.tif,58,discovery,f. 029v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/s6024q2z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0059_f_030r.tif,59,discovery,f. 030r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/8m246305,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0060_f_030v.tif,60,discovery,f. 030v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/2p59471k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0061_f_031r.tif,61,discovery,f. 031r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/3r63rx72,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0062_f_031v.tif,62,discovery,f. 031v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/xz72xv7t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0063_f_032r.tif,63,discovery,f. 032r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/0309r288,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0064_f_032v.tif,64,discovery,f. 032v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/0x48qb8s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0065_f_033r.tif,65,discovery,f. 033r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/fc446j7r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0066_f_033v.tif,66,discovery,f. 033v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/f581vb7h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
