"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0033_f_017r.tif","33","discovery","f. 017r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/1z93q500","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F1z93q500"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0034_f_017v.tif","34","discovery","f. 017v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/4679vn21","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F4679vn21"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0035_f_018r.tif","35","discovery","f. 018r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/hh34z84f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fhh34z84f"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0036_f_018v.tif","36","discovery","f. 018v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/1s73dh43","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F1s73dh43"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0037_f_019r.tif","37","discovery","f. 019r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/f326489b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Ff326489b"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0038_f_019v.tif","38","discovery","f. 019v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/pk081w2w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fpk081w2w"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0039_f_020r.tif","39","discovery","f. 020r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/hv03kf99","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fhv03kf99"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0040_f_020v.tif","40","discovery","f. 020v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/xc95xp48","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fxc95xp48"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0041_f_021r.tif","41","discovery","f. 021r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/k6500d9m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fk6500d9m"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0042_f_021v.tif","42","discovery","f. 021v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/bc94rq9j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fbc94rq9j"
