File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights statement (local)
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0057_f_025r.tif,57,discovery,f. 025r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/mx529h74,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0058_f_025v.tif,58,discovery,f. 025v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/0g069d64,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0059_f_026ar.tif,59,discovery,f. 026ar,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/vp249v5z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0060_f_026av.tif,60,discovery,f. 026av,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/6m060b7j,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0061_f_026br.tif,61,discovery,f. 026br,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/7x33t94v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0062_f_026bv.tif,62,discovery,f. 026bv,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/7364fx2s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0063_f_027r.tif,63,discovery,f. 027r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/nx59mf1n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0064_f_027v.tif,64,discovery,f. 027v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/8834pd80,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0065_f_028r.tif,65,discovery,f. 028r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/vz24pk0g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0066_f_028v.tif,66,discovery,f. 028v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/xx74w58g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
