shelfmark,ark,front_board,back_board
Sinai Arabic 65,ark:/21198/z1x64r73,True,True
Sinai Arabic 298,ark:/21198/z1572gcb,True,True
Sinai Arabic 501,ark:/21198/z1p282gx,True,True
Sinai Arabic 449,ark:/21198/z1tt5v70,True,True
Sinai Syriac 202,ark:/21198/z1z61s9k,True,True
Sinai Arabic 277,ark:/21198/z1dr3zrs,True,True
Sinai Arabic 288,ark:/21198/z1903732,True,True
Sinai Arabic 60,ark:/21198/z11z57pm,True,True
Sinai Arabic 100,ark:/21198/z1ns1z7t,True,True
Sinai Arabic 328,ark:/21198/z1s195rq,True,True
Sinai Arabic 472,ark:/21198/z19w1jvv,True,True
Sinai Arabic 499,ark:/21198/z1st8t3m,True,True
Sinai Arabic 249,ark:/21198/z12f8rtw,True,True
Sinai Arabic 473,ark:/21198/z1640t2z,True,True
Sinai Arabic 602,ark:/21198/z1dn58f6,False,False
Sinai Arabic 414,ark:/21198/z1bv8kxs,True,True
Sinai Syriac 129,ark:/21198/z16q31h8,True,True
Sinai Arabic 165,ark:/21198/z1gq821s,True,True
Sinai Arabic 167,ark:/21198/z1bz7992,True,True
Sinai Arabic 198,ark:/21198/z1v13847,True,True
Sinai Arabic 7,ark:/21198/z1321071,False,True
Sinai Arabic 370,ark:/21198/z10k3cxj,True,True
Sinai Arabic 628,ark:/21198/z1543rwq,True,True
Sinai Arabic 3,ark:/21198/z16t1r0h,True,True
Sinai Arabic 413,ark:/21198/z1gj0nb3,True,True
Sinai Arabic 177,ark:/21198/z1766jkn,True,True
Sinai Arabic 161,ark:/21198/z1mg8stm,False,True
Sinai Arabic 29,ark:/21198/z1252nhk,True,True
Sinai Arabic 14,ark:/21198/z1zc966z,True,True
Sinai Arabic 148,ark:/21198/z10p239t,True,True
Sinai Syriac NF M 60,ark:/21198/z14x711z,False,False
Sinai Syriac NF M 74,ark:/21198/z1m05xk5,False,False
Sinai Syriac NF M 75,ark:/21198/z1g755xq,False,False
Sinai Syriac NF M 61,ark:/21198/z1156883,False,False
Sinai Syriac NF M 88,ark:/21198/z19g7d1k,False,False
Sinai Syriac NF M 77,ark:/21198/z16q3pds,False,False
Sinai Syriac NF M 63,ark:/21198/z1rn510k,False,False
Sinai Syriac NF M 62,ark:/21198/z1wd5rqh,True,True
Sinai Syriac NF M 76,ark:/21198/z1bg4f7v,False,False
Sinai Syriac NF M 89,ark:/21198/z15q6n7z,False,False
Sinai Syriac NF M 72,ark:/21198/z1qn7zzr,False,False
Sinai Syriac NF M 66,ark:/21198/z1cg1g8w,False,False
Sinai Syriac NF M 67,ark:/21198/z17q0qnh,False,False
Sinai Syriac NF M 65,ark:/21198/z1h726x9,False,False
Sinai Syriac NF M 69,ark:/21198/z1vd8qk4,False,False
Sinai Syriac NF M 64,ark:/21198/z1mw48br,False,False
Sinai Syriac NF M 3,ark:/21198/z1tm9397,True,True
Sinai Syriac NF M 17,ark:/21198/z1vm64g2,True,True
Sinai Syriac NF M 16,ark:/21198/z10c6mxh,False,False
Sinai Syriac NF M 28,ark:/21198/z1zc9v3g,False,False
Sinai Syriac NF M 14,ark:/21198/z17s9dw1,False,False
Sinai Syriac NF M 15,ark:/21198/z1418p8c,True,True
Sinai Syriac NF M 39,ark:/21198/z1nw19cs,False,False
Sinai Syriac NF M 38,ark:/21198/z1sn224z,False,False
Sinai Syriac NF M 10,ark:/21198/z1hb0xc3,False,False
Sinai Syriac NF X 29,ark:/21198/z1d813km,False,False
Sinai Syriac NF M 13,ark:/21198/z1ck05m9,False,True
Sinai Syriac NF X 28,ark:/21198/z1j11vd9,False,False
Sinai Syriac NF X 25,ark:/21198/z1x65d40,False,False
Sinai Syriac NF M 37,ark:/21198/z1xd2swb,False,False
Sinai Syriac NF M 23,ark:/21198/z1m34mxk,False,True
Sinai Syriac NF X 26,ark:/21198/z1sj3brp,False,False
Sinai Syriac NF M 35,ark:/21198/z12539fx,False,False
Sinai Syriac NF M 20,ark:/21198/z1qv5crb,False,False
Sinai Syriac NF M 34,ark:/21198/z15x423f,False,False
Sinai Syriac NF X 27,ark:/21198/z1ns2m4q,False,False
Sinai Syriac NF M 30,ark:/21198/z1pv8bhm,False,False
Sinai Syriac NF M 24,ark:/21198/z1gb3w5t,False,False
Sinai Syriac NF M 25,ark:/21198/z1bk34hc,False,False
Sinai Syriac NF M 31,ark:/21198/z1k37krr,False,False
Sinai Syriac NF M 27,ark:/21198/z1350bhd,False,False
Sinai Syriac NF M 33,ark:/21198/z19k63fw,False,False
Sinai Syriac NF M 32,ark:/21198/z1fb6v3b,False,False
Sinai Syriac NF M 26,ark:/21198/z16t2cw0,False,False
Sinai Syriac NF M 69,ark:/21198/z1059738,False,False
Sinai Syriac NF M 41,ark:/21198/z1df8hbt,False,False
Sinai Syriac NF M 40,ark:/21198/z1j40jq8,False,False
Sinai Syriac NF M 68,ark:/21198/z13x9zvb,False,False
Sinai Syriac NF M 81,ark:/21198/z1tf1ph6,False,False
Sinai Syriac NF M 42,ark:/21198/z18p7rqf,False,False
Sinai Syriac NF M 80,ark:/21198/z1z62f51,False,False
Sinai Syriac NF M 90,ark:/21198/z11z5wjp,False,False
Sinai Syriac NF M 84,ark:/21198/z1pr9n4r,False,False
Sinai Syriac NF M 87,ark:/21198/z1f784sb,False,False
Sinai Syriac NF M 78,ark:/21198/z12z2xnm,False,True
Sinai Syriac NF M 86,ark:/21198/z1k08whp,False,False
Sinai Arabic 384,ark:/21198/z17s96d8,True,True
Sinai Arabic 185,ark:/21198/z1zg89wt,True,True
Sinai Arabic 218,ark:/21198/z1k94s60,True,True
Sinai Arabic 26,ark:/21198/z1wq1ndt,True,True
Sinai Arabic 219,ark:/21198/z1fj41h3,True,True
Sinai Arabic 557,ark:/21198/z12532x9,True,True
Sinai Arabic 180,ark:/21198/z1378tc4,False,True
Sinai Arabic 553,ark:/21198/z15t546z,True,True
Sinai Arabic 235,ark:/21198/z19s38qg,True,True
Sinai Arabic 585,ark:/21198/z1nw12wm,False,True
Sinai Arabic 140,ark:/21198/z1m6341s,True,True
Sinai Arabic 424,ark:/21198/z1vm5wz2,True,False
Sinai Arabic 381,ark:/21198/z1cj9z4m,True,False
Sinai Arabic 550,ark:/21198/z19k5vxw,True,True
Sinai Arabic 34,ark:/21198/z1rz0wp3,True,False
Sinai Arabic 155,ark:/21198/z1bs09w9,False,True
Sinai Arabic 141,ark:/21198/z1gj12ng,True,True
Sinai Arabic 442,ark:/21198/z1qv5574,True,True
Sinai Arabic 522,ark:/21198/z1zc9mm9,True,True
Sinai Arabic 244,ark:/21198/z1xh18tw,True,True
Sinai Arabic 279,ark:/21198/z1j97r4h,False,True
Sinai Arabic 537,ark:/21198/z1fb6mm5,False,False
Sinai Arabic 682,ark:/21198/z1db9kk4,False,True
Sinai Arabic 521,ark:/21198/z1321dmx,True,True
Sinai Arabic 284,ark:/21198/z1dj70b8,True,True
Sinai Arabic 45,ark:/21198/z1n6051c,True,True
Sinai Arabic 92,ark:/21198/z1475vkd,False,False
Sinai Arabic 534,ark:/21198/z1k37c9f,True,True
Sinai Arabic 497,ark:/21198/z1bk2x0s,True,True
Sinai Arabic 322,ark:/21198/z1515gw4,True,True
Sinai Arabic 243,ark:/21198/z1281s79,True,True
Sinai Arabic 323,ark:/21198/z1184r68,True,True
Sinai Arabic 453,ark:/21198/z1m34ddc,True,False
Sinai Arabic 533,ark:/21198/z1pv8429,True,True
Sinai Arabic 241,ark:/21198/z1612hzm,True,True
Sinai Arabic 94,ark:/21198/z10g53tm,True,True
Sinai Arabic 95,ark:/21198/z1vq4mbb,True,True
Sinai Arabic 320,ark:/21198/z18s67k3,True,True
Sinai Arabic 488,ark:/21198/z1gb3npn,True,True
Sinai Arabic 72,ark:/21198/z1cn8nmt,True,True
Sinai Arabic 516,ark:/21198/z16t25bb,False,True
Sinai Arabic 266,ark:/21198/z1p28gvt,True,True
Sinai Arabic 528,ark:/21198/z1tm8vv4,True,True
Sinai Arabic 58,ark:/21198/z1hd9dc0,True,True
Sinai Arabic 111,ark:/21198/z1qz3vn2,True,True
Sinai Arabic 410B,ark:/21198/z1087q1f,False,True
Sinai Arabic 262,ark:/21198/z1sr0j41,True,True
